global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,lr,elapsed_sec
10,head_only,10,0.2629399156115325,0.23920797720989762,0.8835995085995086,0.8795475389789056,0.9294358592440887,0.8815688677799908,4.9384217728447624e-05,45.29582405090332
11,head_only,11,0.2557551626281198,0.23437032870510044,0.9052255761116521,0.8526444512381535,0.9456339601563954,0.8781486146095718,4.3211190512391666e-05,45.07437181472778
12,head_only,12,0.25259383962365795,0.22933552951058922,0.9026492180019151,0.864567410577805,0.9432135542729473,0.8831980012492192,3.7038163296335716e-05,45.265968561172485
13,head_only,13,0.245716443533087,0.22476912161116214,0.8941469489414695,0.878018954448181,0.936697076894433,0.8860095634737004,3.0865136080279766e-05,45.1021032333374
14,head_only,14,0.24262399839356616,0.22218315188279925,0.8985552763819096,0.874656068480587,0.9398622230497115,0.8864446165762975,2.4692108864223812e-05,45.176204442977905
15,head_only,15,0.23994072108286355,0.22000569373588352,0.8931769064526088,0.8844390094772241,0.9355799664866877,0.8887864823348695,1.8519081648167858e-05,45.31369662284851
16,head_only,16,0.23890560298350644,0.21857304221895688,0.8943466172381835,0.8850504432895139,0.936324706758518,0.8896742470805162,1.2346054432111906e-05,45.185476779937744
17,head_only,17,0.23818704296876056,0.21773909810273087,0.8963907902924705,0.8807704066034852,0.9380003723701359,0.8885119506553585,6.173027216055953e-06,45.38527536392212
18,head_only,18,0.23691903627271135,0.21749398988835952,0.8946720049276256,0.888107612350963,0.936324706758518,0.891377723227984,0.0,45.58562660217285
19,pooler,1,0.20701340940124882,0.14750595768119262,0.9184100418410042,0.9394680525833079,0.9491714764475889,0.9288197068157775,2.7770177838577293e-05,47.84731841087341
20,pooler,2,0.13667892314163335,0.11784112727721496,0.9367660343270099,0.9510852950168144,0.9609011357289146,0.943871359223301,4.9384217728447624e-05,47.98528289794922
21,pooler,3,0.11095788956188546,0.10957200013217516,0.9387571299909937,0.955976765515133,0.9620182461366599,0.9472887003938201,4.6297704120419645e-05,48.00293827056885
22,pooler,4,0.0960656743326908,0.10745780649834641,0.9431236834185976,0.9581167838581474,0.9648110221560231,0.9505611161662118,4.3211190512391666e-05,47.92577147483826
23,pooler,5,0.08352718389193926,0.10793396357450333,0.9432602821975383,0.9605625191073066,0.9648110221560231,0.9518327779460769,4.0124676904363695e-05,47.924057960510254
24,pooler,6,0.07187944119497951,0.10882161431543542,0.9437255492025278,0.9587282176704371,0.9651833922919382,0.9511677282377919,3.7038163296335716e-05,48.10201120376587
25,pooler,7,0.06297947705569654,0.11365056827429833,0.9363852556480381,0.9630082543564659,0.9601563954570843,0.9495101733232856,3.395164968830774e-05,47.65119433403015
26,pooler,8,0.0545016682667777,0.11421353398027885,0.9492044063647491,0.9483338428615102,0.9690932787190467,0.9487689249120661,3.0865136080279766e-05,47.89023756980896
